train_id,train_number,train_type,origin,destination,corridor_id,station_from,station_to,arrival_time,departure_time,scheduled_date,direction
TR0001,65359,Passenger,Jolarpettai,Katpadi,COR_01,Jolarpettai,Katpadi,08:28,04:40,2026-09-16,Up
TR0002,15929,Passenger,Vellore,Dharmapuri,COR_10,Vellore,Dharmapuri,12:05,10:40,2026-09-15,Down
TR0003,34045,Goods,Tiruppur,Karur,COR_14,Tiruppur,Karur,11:08,09:30,2026-09-22,Up
TR0004,59725,Passenger,Chennai_Central,Salem,COR_05,Chennai_Central,Salem,02:12,21:50,2026-09-09,Down
TR0005,77853,Mail/Express,Krishnarajapuram,Hosur,COR_04,Krishnarajapuram,Hosur,16:14,15:20,2026-09-22,Down
TR0006,15496,Mail/Express,Dharmapuri,Erode,COR_10,Dharmapuri,Erode,11:53,10:10,2026-09-10,Down
TR0007,31704,Passenger,Bengaluru_City,Dharmapuri,COR_17,Bengaluru_City,Dharmapuri,06:15,03:20,2026-09-12,Down
TR0008,40366,Goods,Krishnarajapuram,Jolarpettai,COR_15,Krishnarajapuram,Jolarpettai,10:44,09:20,2026-09-08,Up
TR0009,35576,Passenger,Dindigul,Tiruchirappalli,COR_07,Dindigul,Tiruchirappalli,05:50,05:00,2026-09-04,Down
TR0010,26538,Mail/Express,Hosur,Karur,COR_07,Hosur,Karur,04:26,23:30,2026-09-13,Up
TR0011,27933,Suburban,Tiruppur,Karur,COR_04,Tiruppur,Karur,16:34,15:20,2026-09-07,Down
TR0012,53953,Passenger,Krishnarajapuram,Katpadi,COR_03,Krishnarajapuram,Katpadi,14:59,10:10,2026-09-24,Up
TR0013,51618,Passenger,Arakkonam,Karur,COR_11,Arakkonam,Karur,08:46,03:50,2026-09-21,Up
TR0014,35647,Passenger,Krishnarajapuram,Vaniyambadi,COR_01,Krishnarajapuram,Vaniyambadi,20:52,18:30,2026-09-08,Down
TR0015,77673,Mail/Express,Coimbatore,Hosur,COR_06,Coimbatore,Hosur,05:25,04:10,2026-09-10,Up
TR0016,33345,Passenger,Katpadi,Coimbatore,COR_14,Katpadi,Coimbatore,19:56,17:40,2026-09-12,Down
TR0017,49334,Mail/Express,Krishnarajapuram,Salem,COR_19,Krishnarajapuram,Salem,17:42,15:40,2026-09-13,Down
TR0018,22652,Passenger,Erode,Salem,COR_16,Erode,Salem,20:31,17:30,2026-09-13,Down
TR0019,33094,Goods,Dharmapuri,Krishnarajapuram,COR_15,Dharmapuri,Krishnarajapuram,22:59,21:30,2026-09-14,Up
TR0020,40783,Passenger,Erode,Vaniyambadi,COR_12,Erode,Vaniyambadi,19:30,15:30,2026-09-12,Up
TR0021,63900,Passenger,Arakkonam,Dharmapuri,COR_14,Arakkonam,Dharmapuri,12:02,08:50,2026-09-18,Down
TR0022,54543,Goods,Bengaluru_City,Arakkonam,COR_13,Bengaluru_City,Arakkonam,10:52,08:30,2026-09-05,Down
TR0023,24459,Suburban,Karur,Krishnarajapuram,COR_15,Karur,Krishnarajapuram,20:25,18:10,2026-09-23,Down
TR0024,21829,Mail/Express,Dindigul,Chennai_Central,COR_05,Dindigul,Chennai_Central,02:44,23:00,2026-09-14,Down
TR0025,36009,Suburban,Katpadi,Arakkonam,COR_18,Katpadi,Arakkonam,19:45,16:10,2026-09-21,Down
TR0026,38261,Goods,Hosur,Jolarpettai,COR_08,Hosur,Jolarpettai,15:21,11:20,2026-09-11,Up
TR0027,73556,Passenger,Chennai_Central,Tiruchirappalli,COR_02,Chennai_Central,Tiruchirappalli,07:33,03:40,2026-09-13,Down
TR0028,59526,Goods,Krishnarajapuram,Dindigul,COR_01,Krishnarajapuram,Dindigul,02:53,01:20,2026-09-08,Down
TR0029,12641,Passenger,Katpadi,Dindigul,COR_03,Katpadi,Dindigul,20:52,16:50,2026-09-21,Up
TR0030,65725,Goods,Erode,Bangarapet,COR_04,Erode,Bangarapet,22:35,19:20,2026-09-04,Down
TR0031,59359,Passenger,Tiruppur,Bangarapet,COR_09,Tiruppur,Bangarapet,07:51,03:20,2026-09-06,Up
TR0032,42062,Passenger,Dindigul,Bengaluru_City,COR_14,Dindigul,Bengaluru_City,20:09,15:20,2026-09-19,Down
TR0033,62081,Mail/Express,Dindigul,Vellore,COR_12,Dindigul,Vellore,14:52,14:10,2026-09-18,Down
TR0034,22502,Goods,Vellore,Hosur,COR_16,Vellore,Hosur,11:22,10:10,2026-09-10,Down
TR0035,78603,Goods,Krishnarajapuram,Katpadi,COR_19,Krishnarajapuram,Katpadi,09:02,04:30,2026-09-22,Up
TR0036,29741,Passenger,Coimbatore,Bengaluru_City,COR_02,Coimbatore,Bengaluru_City,16:42,13:20,2026-09-22,Down
TR0037,51027,Suburban,Bengaluru_City,Bangarapet,COR_01,Bengaluru_City,Bangarapet,22:15,17:30,2026-09-11,Down
TR0038,23768,Goods,Coimbatore,Tiruchirappalli,COR_15,Coimbatore,Tiruchirappalli,19:01,17:50,2026-09-06,Down
TR0039,31783,Passenger,Chennai_Central,Jolarpettai,COR_05,Chennai_Central,Jolarpettai,18:22,16:50,2026-09-07,Up
TR0040,28332,Goods,Coimbatore,Jolarpettai,COR_14,Coimbatore,Jolarpettai,01:19,20:40,2026-09-21,Down
TR0041,45534,Goods,Chennai_Central,Hosur,COR_13,Chennai_Central,Hosur,06:30,03:30,2026-09-23,Down
TR0042,58660,Goods,Jolarpettai,Vaniyambadi,COR_19,Jolarpettai,Vaniyambadi,11:54,09:40,2026-09-12,Down
TR0043,31527,Goods,Bangarapet,Dharmapuri,COR_15,Bangarapet,Dharmapuri,01:29,23:50,2026-09-19,Up
TR0044,10734,Passenger,Karur,Jolarpettai,COR_11,Karur,Jolarpettai,05:34,04:30,2026-09-10,Up
TR0045,71432,Goods,Dindigul,Tiruppur,COR_04,Dindigul,Tiruppur,11:01,10:00,2026-09-06,Down
TR0046,45989,Passenger,Krishnarajapuram,Salem,COR_18,Krishnarajapuram,Salem,22:08,20:00,2026-09-17,Down
TR0047,20154,Goods,Erode,Bengaluru_City,COR_12,Erode,Bengaluru_City,19:53,17:40,2026-09-07,Up
TR0048,78461,Goods,Jolarpettai,Bengaluru_City,COR_09,Jolarpettai,Bengaluru_City,19:34,18:00,2026-09-16,Down
TR0049,40386,Suburban,Bengaluru_City,Coimbatore,COR_19,Bengaluru_City,Coimbatore,06:41,06:10,2026-09-06,Up
TR0050,16840,Passenger,Jolarpettai,Coimbatore,COR_05,Jolarpettai,Coimbatore,01:29,00:20,2026-09-18,Down
TR0051,61543,Passenger,Dharmapuri,Hosur,COR_16,Dharmapuri,Hosur,18:33,16:00,2026-09-16,Down
TR0052,38036,Suburban,Hosur,Tiruchirappalli,COR_12,Hosur,Tiruchirappalli,11:50,10:40,2026-09-24,Down
TR0053,25760,Goods,Karur,Tiruppur,COR_05,Karur,Tiruppur,18:28,15:50,2026-09-17,Down
TR0054,65584,Passenger,Chennai_Central,Salem,COR_06,Chennai_Central,Salem,18:17,14:50,2026-09-21,Up
TR0055,67944,Passenger,Salem,Jolarpettai,COR_13,Salem,Jolarpettai,01:10,23:00,2026-09-10,Up
TR0056,75902,Suburban,Hosur,Dharmapuri,COR_19,Hosur,Dharmapuri,05:59,03:20,2026-09-23,Down
TR0057,45936,Goods,Bengaluru_City,Coimbatore,COR_02,Bengaluru_City,Coimbatore,14:39,12:00,2026-09-22,Up
